,A,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,5D,4.0,3N,4.0,4.0,3.0,5.0,36
1,Champion,410.0,376.0,564,392.0,220,400.0,391.0,210.0,569.0,3532
2,Regular,392.0,348.0,531,354.0,192,367.0,364.0,190.0,544.0,3282
3,Ledies,362.0,310.0,482,343.0,132,308.0,356.0,145.0,484.0,2922
4,Hdcp,,,,,,,,,,­
