,南ウィング　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3N,4,4,3,4D,5,36
1,B.T.,517,331,395,144,411,363,182,365,513,3221
2,R.T.,473,294,350,144,385,321,155,333,463,2918
3,F.T.,405,258,296,119,333,273,124,300,425,2533
4,C.T.,535,360,421,170,437,390,208,392,540,3453
5,Hdcp,16,18,6,8,2,14,4,10,12,­
