,南　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,4,5,3N,36
1,Back,324,427,479,174,403,395,382,496,178,3258
2,Regular,311,398,462,143,380,367,354,465,156,3036
3,Front,311,374,445,128,366,348,334,447,127,2880
4,Ladies,291,333,417,98,329,299,284,400,101,2552
5,Hdcp,13,3,9,15,7,1,11,5,17,­
