,白樺　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4D,4,3N,4,4,5D,3N,4,36
1,Back T.,444,383,306,175,334,394,552,157,306,3051
2,Reg,428,355,279,153,317,366,536,137,290,2861
3,Ladies,407,347,254,134,284,354,451,126,256,2613
4,Hdcp,4,2,8,5,7,1,3,6,9,­
