,旧　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,3N,4,5D,36
1,Back T.,484,372,175,465,394,354,165,365,580,3354
2,Reg.,476,350,139,410,381,314,153,355,558,3136
3,Front,466,342,123,394,326,314,127,355,541,2988
4,Hdcp,9,3,17,11,1,7,15,13,5,­
