,ＯＵＴ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4D,4,5,4,3,4,36
1,BACK黒,400,550,150,410,345,535,405,195,400,3390
2,REG青,380,520,130,390,335,525,395,175,385,3235
3,FRONT白,375,470,125,340,320,480,350,165,340,2965
4,LADY,340,470,120,340,250,480,350,95,340,2785
5,Hdcp,6,3,7,2,9,1,5,4,8,­
