,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,3N,4,4,4,3,5,36
1,Champion,424,480,397,176,462,439,357,201,598,3534
2,Back,396,466,375,148,438,381,338,170,583,3295
3,Reg.,377,443,329,145,414,370,338,145,562,3123
4,Ladies,351,331,281,121,329,295,291,132,413,2544
5,Silver,351,417,282,122,329,295,291,132,474,2693
6,Hdcp,6,10,16,18,4,8,12,14,2,­
