,ローズ,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,5,4D,3N,4,4,36
1,Back,571,362,425,190,612,378,173,364,427,3502
2,Reg.,549,334,396,178,581,364,162,334,410,3308
3,Front,504,334,363,149,581,364,162,334,388,3179
4,Ladies,460,304,314,149,533,314,115,280,319,2788
5,Hdcp,2,5,1,6,3,7,8,9,4,­
