,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4D,4,4,3N,4,5,36
1,Champion,431,193,574,412,346,422,158,437,567,3540
2,Back,398,172,542,381,315,372,132,407,533,3252
3,Reg.,365,151,508,352,280,341,110,373,493,2973
4,Front,336,122,423,310,240,296,84,316,464,2591
5,Hdcp,15,9,3,1,13,7,17,5,11,­
