,白樺　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,4,3N,4,5D,3N,4,4,36
1,Back T.,519,306,377,220,344,580,203,321,415,3285
2,Reg,498,279,349,198,323,563,183,282,393,3068
3,Ladies,443,241,321,164,295,416,150,268,365,2663
4,Hdcp,4,9,6,3,8,1,7,2,5,­
