,アゼリア,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,4D,3,4,5,36
1,Back,560,432,373,171,405,375,220,403,578,3517
2,Reg.,540,403,349,151,373,343,197,370,545,3271
3,Front,508,359,349,129,373,343,175,370,512,3118
4,Ladies,478,278,272,129,345,272,140,290,421,2625
5,Hdcp,5,1,6,8,4,3,7,2,9,­
