,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,5,3,4,4D,36
1,Back T.,485,409,163,332,404,533,185,409,369,3289
2,Reg,480,391,150,317,384,515,173,388,338,3136
3,Front,475,367,145,289,336,472,140,358,308,2890
4,Hdcp,8,3,9,7,1,4,6,2,5,­
