,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,5,3,4,4,36
1,Back,375,355,182,482,383,585,198,398,361,3319
2,Regular,375,303,155,465,350,556,172,380,338,3094
3,Front,346,303,113,465,350,542,159,324,299,2901
4,Ladies,272,258,92,384,295,469,141,276,195,2382
5,Hdcp,7,17,13,3,11,1,15,5,9,­
