,out,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,5D,4,3,4,36
1,BACK,487,384,455,205,373,571,364,186,427,3452
2,RGL.,438,357,430,174,348,542,340,161,399,3189
3,LADY,373,294,295,95,238,388,242,98,314,2337
4,Hdcp,7,6,1,8,5,2,4,9,3,­
