,新　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,5,4,4D,3,4,36
1,Back T.,472,393,166,375,555,385,417,211,414,3388
2,Reg.,472,348,128,339,517,348,383,180,383,3098
3,Front,420,340,115,315,489,311,366,137,360,2853
4,Hdcp,11,17,9,3,7,15,1,5,13,­
