,鶴居西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,5D,4,4,3N,4,36
1,BACK,382,538,206,361,615,420,395,176,420,3513
2,REGULAR,356,500,173,345,567,408,370,157,392,3268
3,Front,336,406,160,316,503,369,310,139,374,2913
4,Hdcp,13,5,11,15,1,7,3,17,9,­
