,小沼,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,3,4,4,4,5D,36
1,BLUE,430,186,414,550,170,385,435,407,634,3611
2,WHITE,410,170,396,528,150,340,392,385,600,3371
3,RED,366,155,364,445,108,311,374,355,570,3048
4,Hdcp,2,6,4,7,3,8,5,9,1,­
