,西　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,4,3,4D,5,3,4,36
1,Back,523,435,406,428,182,361,500,180,389,3404
2,Regular,512,401,389,407,166,336,475,157,361,3204
3,Front,467,350,357,397,133,301,453,126,361,2945
4,Ladies,355,350,357,243,133,221,415,126,288,2488
5,Hdcp,8,4,10,2,14,18,6,16,12,­
