,B（川中島）,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,3,5D,4,4,36
1,Back T.,369,381,164,540,349,166,475,454,370,3268
2,Regular,355,358,139,532,338,161,462,434,354,3133
3,Front,327,281,127,460,309,156,405,384,328,2777
4,Hdcp,6,4,9,3,7,5,8,1,2,­
