,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,4,3N,4,5D,36
1,Champion,452,426,216,540,378,414,184,392,536,3538
2,Back,429,403,196,528,351,385,145,358,506,3301
3,Reg.,398,367,169,501,338,372,121,328,473,3067
4,Front,374,321,152,463,306,319,110,293,419,2757
5,Hdcp,4,10,16,2,14,8,12,6,18,­
