,マスターズ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,5,4,3,4,4,4,3N,4D,36
1,Blue T.,471,540,437,167,355,387,392,186,402,3337
2,Orange T.,454,516,416,155,331,369,373,150,367,3131
3,White T.,445,487,382,144,302,345,354,141,349,2949
4,Red T.,407,417,321,132,271,306,283,124,287,2548
5,Hdcp,11,5,7,15,3,13,1,17,9,­
