,支笏,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,4,3N,4,5D,3N,4,36
1,Back,404,400,518,442,192,369,562,242,441,3570
2,Regular,379,366,496,404,145,347,540,166,377,3220
3,Front,353,343,468,380,131,327,515,145,354,3016
4,Ladies,324,320,445,355,120,303,493,145,333,2838
5,Hdcp,5,8,2,1,7,4,3,6,9,­
