,鶴居東　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4D,4,3N,4,5,36
1,BACK,398,410,157,583,421,379,191,398,521,3458
2,REGULAR,382,369,144,550,401,349,157,377,489,3218
3,Front,315,356,124,487,352,309,140,335,422,2840
4,Front2,315,307,124,421,300,309,140,271,422,2609
5,Hdcp,8,16,10,2,4,18,14,6,12,­
