,チャンピオンズ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,3,4D,5,4,4,5,36
1,Blue T.,432,199,413,183,389,542,458,419,539,3574
2,Orange T.,415,183,395,167,370,509,426,399,516,3380
3,White T.,395,161,372,147,339,473,412,379,488,3166
4,Red T.,336,137,316,128,293,409,341,321,413,2694
5,Hdcp,6,12,2,14,18,8,4,10,16,­
