,駒ヶ岳,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,4,4,5,3,4,36
1,BLUE,588,186,380,384,442,410,490,170,350,3400
2,WHITE,564,162,347,344,387,390,471,150,326,3141
3,RED,510,139,319,289,300,370,431,134,314,2806
4,Hdcp,2,3,7,5,1,4,9,8,6,­
