,阿寒,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4D,4,4,3N,5D,36
1,Back,409,506,445,209,405,498,385,203,550,3610
2,Regular,381,481,359,161,360,401,358,178,525,3204
3,Front,355,435,342,136,337,311,332,149,484,2881
4,Ladies,344,383,320,118,337,311,309,122,451,2695
5,Hdcp,5,8,2,7,4,1,9,6,3,­
