,西　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5.0,4.0,3.0,4.0,4.0,3.0,5D,4.0,4.0,36
1,Champ.,490.0,406.0,202.0,428.0,397.0,191.0,513,409.0,365.0,3401
2,Reg.,486.0,385.0,170.0,397.0,365.0,174.0,481,362.0,348.0,3168
3,Front.,456.0,317.0,141.0,338.0,315.0,105.0,416,321.0,302.0,2711
4,Hdcp,,,,,,,,,,­
