,南　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,5D,4,4D,3N,4,4,36
1,Back T.,525,430,204,555,375,383,165,425,355,3417
2,Reg.,502,387,187,510,348,362,138,399,331,3164
3,Front,449,354,164,463,317,335,116,358,301,2857
4,Hdcp,13,5,9,3,11,7,17,1,15,­
