,B,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4.0,4.0,4.0,5.0,3N,4.0,5D,36
1,Champion,416.0,220.0,388.0,374.0,387.0,600.0,154,327.0,507,3373
2,Regular,393.0,194.0,368.0,351.0,340.0,555.0,136,305.0,471,3113
3,Ledies,351.0,168.0,368.0,345.0,321.0,467.0,129,300.0,441,2890
4,Hdcp,,,,,,,,,,­
