,北ウィング　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,4,4,3,5,4,36
1,B.T.,369,170,515,385,425,405,182,541,389,3381
2,R.T.,348,170,491,351,407,382,165,515,371,3200
3,F.T.,309,138,455,318,270,341,127,481,347,2786
4,C.T.,394,180,575,420,449,429,207,564,421,3639
5,Hdcp,11,15,17,7,3,1,9,13,5,­
