,旧コース,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,36
1,Reg.T,355.0,139.0,380.0,432.0,340.0,487.0,510.0,155.0,318.0,3116
2,Hdcp,,,,,,,,,,­
