,ピリカ,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4D,3N,4,4,5,3,4D,36
1,Back,612,372,403,135,387,426,598,180,404,3517
2,Regular,515,321,381,117,356,351,501,160,354,3056
3,Front,449,303,364,94,356,351,460,111,354,2842
4,Hdcp,1,5,6,9,8,2,3,7,4,­
