,丹頂,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4D,5,4,3,4D,36
1,Back,531,411,359,177,470,624,385,186,360,3503
2,Regular,501,380,329,158,444,576,364,186,342,3280
3,Front,501,356,329,158,260,506,364,168,342,2984
4,Hdcp,4,3,5,9,2,1,8,7,6,­
