,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5D,4,3,4,4,4,5,3N,4,36
1,Blue,567,370,176,401,431,321,590,155,310,3321
2,White,546,352,156,381,413,303,570,133,291,3145
3,Gold,546,352,156,341,413,303,530,133,268,3042
4,Red,402,227,142,341,341,250,530,110,225,2568
5,Hdcp,4,10,16,2,8,14,6,12,18,­
