,まりも,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4D,4,5,3,4D,36
1,Back,527,443,187,441,407,427,614,164,364,3574
2,Regular,497,403,164,406,389,408,523,145,345,3280
3,Front,467,371,164,372,325,335,489,145,345,3013
4,Hdcp,6,2,7,3,4,5,1,8,9,­
