,チャンピオンズ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,4,3,4,5D,36
1,Blue T.,545,430,185,388,378,371,162,377,509,3345
2,Orange T.,523,413,170,366,361,351,135,358,481,3158
3,White T.,503,384,154,337,344,331,123,339,457,2972
4,Red T.,431,328,127,297,279,281,102,276,391,2512
5,Hdcp,7,3,17,1,9,13,15,5,11,­
