,南ウィング　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4D,4,5,3N,4,36
1,B.T.,392,185,483,334,417,334,536,175,370,3226
2,R.T.,356,165,447,294,361,334,507,149,322,2935
3,F.T.,300,126,401,238,333,309,455,119,273,2554
4,C.T.,421,213,515,363,443,372,554,200,407,3488
5,Hdcp,3,5,11,15,1,9,13,17,7,­
