,大沼,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,4,3,4,5,36
1,BLUE,416,385,190,365,540,390,210,390,503,3389
2,WHITE,395,370,170,344,515,361,201,370,480,3206
3,RED,319,312,155,325,490,350,165,359,469,2944
4,Hdcp,2,9,6,5,3,7,1,4,8,­
