,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,5.0,3N,4.0,4.0,3.0,5.0,4D,4.0,36
1,Champion,424.0,530.0,177,464.0,419.0,220.0,556.0,410,381.0,3581
2,Back,405.0,508.0,163,433.0,390.0,201.0,529.0,392,365.0,3386
3,Regular,386.0,475.0,136,406.0,360.0,182.0,506.0,361,334.0,3146
4,Hdcp,,,,,,,,,,­
