,ホワイト,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,4,5D,3,4,3N,36
1,Back T.,445,564,447,337,356,570,196,307,109,3331
2,R.T,433,545,421,318,347,555,167,297,100,3183
3,Hdcp,2,1,3,7,6,4,5,8,9,­
