,くまもと中央カントリークラブ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,5D,4,3N,4,4,36
1,Champion,570,440,210,440,602,387,188,405,412,3654
2,Back,537,419,191,425,565,371,183,382,391,3464
3,Reg.,504,396,162,395,550,349,150,357,364,3227
4,Front,471,377,145,363,525,343,135,340,343,3042
5,Ladies,447,347,126,340,465,329,120,305,315,2794
6,Hdcp,10,4,16,8,2,14,18,6,12,­
