,肥後サンバレーカントリークラブ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,3,4,5D,4,36
1,Back,337,189,513,338,389,173,395,483,424,3241
2,REG,316,163,470,306,348,154,380,474,410,3021
3,LADIES,296,154,376,240,273,134,317,376,353,2519
4,Hdcp,15,13,9,3,1,17,11,7,5,­
