,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3N,5D,4,4,3,4,36
1,Back,530,394,377,182,516,395,412,181,431,3418
2,Regular,507,375,358,163,494,373,394,165,410,3239
3,Ladies,437,318,297,113,433,268,338,119,337,2660
4,Hdcp,16,4,14,10,18,6,8,12,2,­
