,日向,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,4,4,3,5,5,36
1,TOURNAMENT,489,412,143,399,445,350,235,527,525,3525
2,BACK,470,377,123,389,433,318,206,485,494,3295
3,FORWARD,380,355,109,354,386,287,177,430,429,2907
4,Hdcp,6,3,9,2,1,8,5,7,4,­
