,チサンカントリークラブ御船　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,5,4D,4,3,4,36
1,Back,356,158,515,354,539,455,399,207,332,3315
2,Regular,325,131,492,336,509,437,373,189,332,3124
3,Front,291,131,430,301,452,392,353,146,312,2808
4,Ladies,291,131,430,293,452,323,303,146,312,2681
5,Pink,200,100,250,200,220,250,200,140,200,1760
6,Hdcp,13,15,17,11,7,1,3,5,9,­
