,薩摩,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5,3,4,5D,4,4,36
1,TOURNAMENT,429,212,388,558,226,373,517,335,470,3508
2,BACK,418,197,356,529,201,350,499,322,436,3308
3,FORWARD,391,142,338,486,178,328,439,310,363,2975
4,Hdcp,7,2,5,1,4,8,6,9,3,­
