,ＩＮ,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5,4,3,4,5D,36
1,ゴールド,439,394,219,385,568,416,229,444,584,3678
2,ブルー,416,366,192,358,541,387,210,414,557,3441
3,ホワイト,390,347,166,334,502,364,183,387,527,3200
4,グリーン,365,319,145,305,470,328,160,355,494,2941
5,レッド,307,315,141,301,444,290,156,314,451,2719
6,Hdcp,3,9,4,8,5,1,6,2,7,­
