,八代ゴルフ倶楽部　IN,10,11,12,13,14,15,16,17,18,計
0,Par,3N,5D,4,4,3N,4D,4,4,5D,36
1,バック,175,481,385,386,208,364,391,446,520,3356
2,レギュラー,148,458,360,345,193,347,350,420,470,3091
3,フロント,133,441,300,325,160,335,340,398,470,2902
4,レディース,133,349,268,284,121,335,330,298,370,2488
5,桜,110,349,268,208,121,270,236,298,370,2230
6,Hdcp,14,16,10,8,4,18,12,2,6,­
