,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3N,4D,3,4,4,5,36
1,Gold,420,357,554,219,366,189,422,330,555,3412
2,Back,393,317,534,196,339,166,395,306,529,3175
3,Reg.,375,281,520,170,312,150,375,284,508,2975
4,Ladies,317,260,423,128,291,113,307,246,441,2526
5,Hdcp,4,6,8,10,12,16,2,18,14,­
