,中岳,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3N,4D,4.0,5.0,4.0,3.0,4.0,5.0,36
1,Back,434.0,184,469,364.0,553.0,404.0,202.0,387.0,530.0,3527
2,Reg.,400.0,168,452,347.0,541.0,367.0,178.0,353.0,506.0,3312
3,Front,380.0,149,400,321.0,474.0,336.0,161.0,324.0,457.0,3002
4,Hdcp,,,,,,,,,,­
