,オレンジ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5,4,4,5,4,3N,4,36
1,Back T.,410,172,528,377,362,487,393,175,349,3253
2,R.T,381,150,508,355,345,472,380,152,321,3064
3,Hdcp,8,14,4,10,16,12,6,18,2,­
