,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3N,4,5D,4,3,4,36
1,GOLD,417,563,443,190,419,555,404,184,407,3582
2,WHITE,369,513,380,172,379,488,361,152,377,3191
3,RED,308,384,299,116,313,428,278,139,332,2597
4,Hdcp,16,10,4,8,2,14,6,18,12,­
