,八代ゴルフ倶楽部　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,3N,4,5D,4,4,4,36
1,バック,410,180,546,182,384,522,412,431,416,3483
2,レギュラ,390,163,495,133,360,487,390,390,385,3193
3,フロント,375,163,468,133,345,487,320,346,368,3005
4,レディース,268,125,468,113,330,422,320,314,272,2632
5,桜,268,125,390,113,263,376,284,242,270,2331
6,Hdcp,9,13,15,5,11,17,7,3,1,­
