,杵島,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,5.0,4D,4.0,3.0,4.0,5.0,36
1,Back,417.0,391.0,181,552.0,388,436.0,232.0,437.0,517.0,3551
2,Reg.,410.0,368.0,167,489.0,372,399.0,194.0,405.0,500.0,3304
3,Front,377.0,334.0,130,459.0,292,358.0,194.0,394.0,473.0,3011
4,Hdcp,,,,,,,,,,­
