,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5D,4,3N,4,4,3N,5D,36
1,バック,366,411,513,403,193,358,445,161,524,3374
2,レギュラー,346,393,491,378,166,341,419,144,507,3185
3,レディース,314,351,448,353,137,284,308,116,473,2784
4,Hdcp,16,10,4,2,14,8,6,18,12,­
