,ファミリー,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,3D,4,5N,4,36
1,ブルー,387,371,213,553,410,194,351,589,403,3471
2,ホワイト,374,356,190,530,394,178,332,572,389,3315
3,グリーン,362,330,159,501,365,169,322,559,380,3147
4,レッド,327,308,137,472,340,135,283,472,290,2764
5,Hdcp,6,8,2,3,1,7,9,5,4,­
