,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5D,4,3N,4,4,3N,4,4,5D,36
1,Back,496,381,160,333,390,187,371,384,513,3215
2,REGULAR,479,365,140,321,368,153,327,334,499,2986
3,LADIES,452,330,105,297,333,100,252,279,467,2615
4,Hdcp,6,12,18,16,4,8,14,2,10,­
