,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,3N,4,5D,4,3N,5,36
1,Back,409,392,331,184,425,480,369,167,480,3237
2,Regular,398,386,328,184,398,460,340,140,458,3092
3,Front,381,370,310,164,381,446,328,122,440,2942
4,Gold,363,360,302,144,381,430,328,112,426,2846
5,Ladies1,352,343,278,134,359,418,314,112,397,2707
6,Ladies2,314,307,278,134,309,316,274,112,343,2387
7,Hdcp,4,10,14,6,2,16,8,12,18,­
