,オレンジ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,5D,4,4,4,5,3N,36
1,Back T.,340,313,144,477,332,304,323,538,142,2913
2,R.T,328,264,119,465,308,289,312,497,112,2694
3,Hdcp,3,13,11,1,9,5,17,7,15,­
