,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,4,4,4,3,5D,36
1,BT,527,430,204,415,400,418,442,190,474,3500
2,RT,500,407,171,400,386,371,413,170,464,3282
3,Hdcp,16,6,10,14,8,2,4,12,18,­
