,くまもと中央カントリークラブ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,5D,4,3N,4,4,36
1,Champion,549,433,204,371,547,406,230,441,435,3616
2,Back,534,415,180,355,527,384,173,418,419,3405
3,Reg.,514,395,160,330,500,357,157,397,390,3200
4,Front,495,373,147,320,476,334,138,377,356,3016
5,Ladies,475,349,134,310,394,300,122,345,320,2749
6,Hdcp,7,3,15,11,1,13,17,5,9,­
