,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,5D,3,4,4,4,3N,4,36
1,Blue,533,446,496,180,336,420,365,150,358,3284
2,White,511,401,464,155,331,404,285,140,333,3024
3,Red,397,336,358,144,299,297,275,128,328,2562
4,Hdcp,10,2,16,8,14,4,6,18,12,­
