,阿蘇,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4,3,5D,4,4,36
1,Back T.,364,529,154,427,416,171,580,393,394,3428
2,Regular T.,349,506,139,400,390,147,561,375,360,3227
3,Ladie's T.,311,451,139,361,359,104,469,319,332,2845
4,Hdcp,9,3,15,1,7,13,5,11,17,­
