,九重,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,4,5,3N,3,4D,36
1,Back T.,301,308,498,305,384,475,183,150,288,2892
2,Regular T.,285,293,478,287,362,454,113,143,276,2691
3,Ladie's T.,267,293,478,253,340,431,113,143,276,2594
4,Hdcp,8,2,5,7,1,4,3,6,9,­
